,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Lot No.,Kilometers
613,"Rs. 2,10,000",Used,25/9/2014,144,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,61,6500
614,"Rs. 1,20,000",Used,21/10/2014,226,Kathmandu,Standard,2007,Bajaj,Pulsar 200,200,34,18160
615,"Rs. 1,50,000",Used,24/9/2014,104,Kathmandu,Cruiser,2011,Bajaj,Avenger,220,48,13000
616,"Rs. 1,20,000",Used,24/9/2014,391,Kathmandu,Standard,2010,Bajaj,Pulsar 200,200,29,48000
617,"Rs. 1,05,000",Used,23/9/2014,364,Narayanghat,Standard,2010,Bajaj,Pulsar 180,180,15,40000
618,"Rs. 1,10,000",Used,23/9/2014,33,Kathmandu,Standard,2009,Bajaj,Pulsar 180,180,38,28000
619,"Rs. 80,000",Used,22/9/2014,117,Kathmandu,Standard,2010,Bajaj,Discover 100,100,40,36000
620,"Rs. 1,00,000",Used,10/9/2014,1615,Kathmandu,Standard,2010,Bajaj,Platina 125,125,42,20500
621,Contact Seller,Used,3/9/2014,200,Kathmandu,Standard,1999,Bajaj,Pulsar 220,220,36,18000
622,"Rs. 1,65,000",Used,13/8/2014,106,Kirtipur,Cruiser,2011,Bajaj,Avenger,220,44,19500
623,"Rs. 1,68,900",New,3/9/2015,2612,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,
624,"Rs. 1,73,900",New,3/9/2015,11676,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,
625,"Rs. 1,55,900",New,3/9/2015,4622,Kathmandu,Standard,2014,Bajaj,Discover 100M,102,,
626,"Rs. 95,000",Used,14/6/2014,141,Kathmandu,Standard,2008,Bajaj,Pulsar 200,200,31,35621
627,"Rs. 80,000",Used,14/6/2014,174,Kathmandu,Standard,2009,Bajaj,Discover 100,100,36,55155
628,"Rs. 95,000",Used,14/6/2014,5239,Kathmandu,Standard,2008,Bajaj,Discover 135,135,29,48500
629,"Rs. 1,35,000",Used,14/6/2014,400,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,46,37795
630,"Rs. 1,75,000",Used,14/6/2014,1705,Kathmandu,Standard,2012,Bajaj,Pulsar 220F,220,51,31568
631,"Rs. 1,50,000",Used,13/6/2014,74,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,49,25000
632,"Rs. 1,30,000",Used,13/6/2014,2189,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,41,30000
633,"Rs. 1,10,000",Used,13/6/2014,163,Kathmandu,Standard,2009,Bajaj,Pulsar 150,150,35,30000
634,"Rs. 1,10,000",Used,13/6/2014,197,Kathmandu,Standard,2009,Bajaj,Pulsar 200,200,32,30000
635,"Rs. 80,000",Used,12/6/2014,256,Kathmandu,Standard,2008,Bajaj,Pulsar 150,150,30,30000
636,"Rs. 1,40,000",Used,12/6/2014,203,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,46,30000
637,"Rs. 1,55,000",Used,12/6/2014,5640,Kathmandu,Standard,2011,Bajaj,Pulsar 220F,220,44,50000
638,"Rs. 1,70,900",New,3/9/2015,933,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,
639,"Rs. 1,65,900",New,3/9/2015,1077,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,
640,"Rs. 1,74,900",New,3/9/2015,3884,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,
641,"Rs. 1,79,900",New,3/9/2015,17203,Kathmandu,Standard,2014,Bajaj,Pulsar 135,135,,
642,"Rs. 2,79,900",New,3/9/2015,76690,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,,
643,"Rs. 2,71,900",New,3/9/2015,142619,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,,
644,"Rs. 2,38,900",New,3/9/2015,29615,Kathmandu,Standard,2014,Bajaj,Pulsar 180,179,,
645,"Rs. 2,26,900",New,3/9/2015,131246,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,,
646,"Rs. 1,38,900",New,14/1/2015,10649,Kathmandu,Standard,2014,Bajaj,Platina 125,125,,
647,"Rs. 1,33,900",New,20/10/2014,3114,Kathmandu,Standard,2014,Bajaj,Platina 100,99,,
648,"Rs. 1,55,900",New,29/7/2014,8522,Kathmandu,Standard,2014,Bajaj,Discover 100,102,,
649,"Rs. 2,66,900",New,3/9/2015,27367,Kathmandu,Cruiser,2014,Bajaj,Avenger,220,,
650,"Rs. 40,000",Used,14/7/2020,178,Kathmandu,Scooter,2009,Hero,Pleasure,102,38,32000
651,"Rs. 1,00,000",Used,19/3/2017,98,,Standard,2012,Hero,CBZ Xtreme,149,4,60000
652,"Rs. 40,000",Used,4/8/2017,544,Pokhara,Standard,2003,Hero,Passion Pro,100,2,75000
653,Rs. 170.00,Used,17/2/2017,126,Damauli,Standard,2016,Hero,CBZ Xtreme,150,10,13000
654,"Rs. 1,70,000",Used,14/2/2017,112,Damauli,Standard,2016,Hero,Xtreme,150,10,13000
655,"Rs. 1,50,000",Used,21/1/2017,97,Kathmandu,Standard,2015,Hero,Glamour,125,69,9000
656,"Rs. 1,30,000",Used,18/1/2017,321,Kathmandu,Standard,2013,Hero,Achiver DSS,150,58,12500
657,"Rs. 1,30,000",Used,4/1/2017,126,Kathmandu,Standard,2014,Hero,Achiver DSS,110,63,13000
658,"Rs. 65,000",Used,4/1/2017,2289,Lekhnath,Standard,2012,Hero,CBZ Xtreme,150,12,50200
659,"Rs. 80,000",Used,28/12/2016,898,Kathmandu,Standard,2010,Hero,Karizma R,223,39,22800
660,"Rs. 77,000",Used,23/12/2016,1740,Kathmandu,Standard,2010,Hero,CBZ Xtreme,150,38,47000
661,"Rs. 1,00,000",Used,17/12/2016,138,Kathmandu,Standard,2014,Hero,Achiver DSS,110,56,12000
662,"Rs. 1,35,000",Used,13/12/2016,787,Kathmandu,Standard,2015,Hero,Glamour,125,63,13500
663,"Rs. 1,25,000",Used,12/12/2016,307,Narayanghat,Standard,2015,Hero,Achiver DSS,102,37,3000
664,"Rs. 1,05,000",Used,5/12/2016,338,Rajbiraj,Standard,2012,Hero,Glamour,125,2,23500
665,"Rs. 1,15,000",Used,24/11/2016,64,Damak,Standard,2012,Hero,Xtreme,150,4,30000
666,"Rs. 1,00,000",Used,20/11/2016,642,Kathmandu,Scooter,2010,Hero,Pleasure,105,39,200000
667,"Rs. 1,25,000",Used,6/10/2016,339,Kathmandu,Standard,2010,Hero,Karizma,225,45,32000
668,"Rs. 87,000",Used,4/10/2016,433,Lalitpur,Standard,2010,Hero,Splendor,97,39,32044
669,"Rs. 1,50,000",Used,2/10/2016,79,Bhairahawa,Standard,2014,Hero,Achiver DSS,100,28,705
670,"Rs. 1,90,000",Used,27/9/2016,231,Kathmandu,Standard,2011,Hero,Karizma R,223,55,16000
671,"Rs. 65,000",Used,22/9/2016,415,Kathmandu,Scooter,2011,Hero,Pleasure,102,36,24000
672,"Rs. 1,65,000",Used,9/9/2016,328,Damauli,Standard,2015,Hero,Xtreme Sports,150,10,16500
673,"Rs. 85,000",Used,31/8/2016,780,Kathmandu,Standard,2012,Hero,Hunk,150,17,40000
674,"Rs. 1,40,000",Used,23/8/2016,494,,Cafe Racer,2014,Hero,Splendor Pro Classic,100,28,240
675,"Rs. 1,40,000",Used,23/8/2016,1190,Kathmandu,Cafe Racer,2014,Hero,Splendor Pro Classic,100,28,240
676,Rs. 75.00,Used,12/8/2016,95,Lalitpur,Standard,2009,Hero,CBZ Xtreme,150,37,44000
677,"Rs. 30,000",Used,11/8/2016,279,Kathmandu,Other,2002,Hero,Other,97,13,34000
678,"Rs. 75,000",Used,10/8/2016,140,Lalitpur,Scooter,2013,Hero,Pleasure,100,46,19250
679,"Rs. 1,18,000",Used,7/8/2016,210,Kathmandu,Standard,2012,Hero,Glamour,125,2,24
680,"Rs. 75,000",Used,26/7/2016,452,Lalitpur,Scooter,2012,Hero,Pleasure,100,46,19230
681,"Rs. 90,000",Used,20/7/2016,210,Kathmandu,Standard,2012,Hero,CBZ Xtreme,150,35,35020
682,"Rs. 70,000",Used,19/7/2016,162,Gatthaghar,Scooter,2011,Hero,Pleasure,102,48,17600
683,"Rs. 75,000",Used,11/7/2016,113,Kathmandu,Standard,2010,Hero,Karizma R,225,39,22000
684,"Rs. 1,30,000",Used,10/7/2016,332,Kathmandu,Standard,2015,Hero,Splendor,100,70,4500
685,"Rs. 1,15,000",Used,28/6/2016,111,Kathmandu,Standard,2014,Hero,Splendor,125,59,12300
686,Contact Seller,Used,24/6/2016,82,Kathmandu,Scooter,2008,Hero,Pleasure,110,28,25000
687,"Rs. 1,00,000",Used,18/6/2016,490,,Standard,2010,Hero,Karizma,223,4,30000
688,"Rs. 70,000",Used,13/6/2016,222,Janakpur,Standard,2010,Hero,Glamour,125,3,35000
689,"Rs. 90,000",Used,10/6/2016,290,Pokhara,Scooter,2014,Hero,Pleasure,102,8,3000
690,"Rs. 70,000",Used,8/6/2016,800,Kathmandu,Scooter,2012,Hero,Pleasure,102,46,15000
691,"Rs. 50,000",Used,22/4/2016,168,Bharatpur,Standard,2010,Hero,CBZ,150,15,42000
692,"Rs. 50,000",Used,5/4/2016,2302,Kathmandu,Standard,2006,Hero,Ambition,135,18,18000
693,"Rs. 62,000",Used,31/3/2016,237,Kathmandu,Standard,2009,Hero,Splendor,125,20,31000
694,"Rs. 1,65,000",Used,6/4/2016,232,Kathmandu,Standard,2014,Hero,Xtreme,150,59,7300
695,"Rs. 70,000",Used,6/3/2016,1252,Kathmandu,Standard,2009,Hero,Splendor,100,31,11111
696,"Rs. 1,05,000",Used,24/2/2016,78,Dharan,Standard,2011,Hero,CBZ Xtreme,150,9,40000
697,"Rs. 70,000",Used,21/2/2016,1266,Bhaktapur,Standard,2011,Hero,Splendor,100,43,34000
698,"Rs. 1,45,000",Used,21/2/2016,292,Kathmandu,Standard,2013,Hero,CBZ Xtreme,150,54,21000
699,"Rs. 1,50,000",Used,13/2/2016,2185,Kathmandu,Standard,2011,Hero,Karizma,223,45,19000
700,"Rs. 95,000",Used,10/2/2016,389,Kathmandu,Standard,2010,Hero,Karizma R,225,40,29000
701,"Rs. 95,000",Used,10/2/2016,93,Kathmandu,Standard,2010,Hero,Karizma R,225,40,29000
702,"Rs. 60,000",Used,10/2/2016,357,Kathmandu,Scooter,2008,Hero,Pleasure,102,30,47471
703,"Rs. 2,00,000",Used,7/2/2016,1492,Kathmandu,Standard,2015,Hero,Xtreme Sports,150,68,6000
704,"Rs. 1,71,500",New,12/1/2016,7194,Kathmandu,Scooter,2015,Hero,Dash,110,,
705,"Rs. 1,67,500",New,12/1/2016,11517,Kathmandu,Scooter,2015,Hero,Dash,110,,
706,"Rs. 1,90,000",Used,11/1/2016,247,Kathmandu,Standard,2013,Hero,Karizma,223,55,17000
707,"Rs. 1,00,000",Used,20/12/2015,71,Kathmandu,Standard,2012,Hero,Glamour,125,43,32000
708,"Rs. 1,50,000",Used,17/12/2015,230,Kathmandu,Standard,2012,Hero,CBZ Xtreme,149,54,13600
709,"Rs. 1,40,000",Used,11/12/2015,201,Kawasoti,Standard,2013,Hero,Xtreme,150,28,19500
710,"Rs. 1,50,000",Used,11/12/2015,243,Kathmandu,Standard,2013,Hero,CBZ Xtreme,149,56,17000
711,"Rs. 45,000",Used,31/10/2015,640,Kathmandu,Standard,2008,Hero,Hunk,150,28,40000
712,"Rs. 77,000",Used,13/10/2015,87,Kathmandu,Standard,2010,Hero,CBZ,150,34,36000
713,"Rs. 1,25,000",Used,3/10/2015,39,Lalitpur,Standard,2013,Hero,Splendor,125,54,15000
714,"Rs. 1,25,000",Used,11/9/2015,587,Kathmandu,Cafe Racer,2014,Hero,Splendor Pro Classic,100,65,9000
715,"Rs. 1,25,000",Used,25/8/2015,104,Lalitpur,Standard,2011,Hero,CBZ Xtreme,150,47,30000
716,"Rs. 35,000",Used,13/8/2015,324,Kathmandu,Standard,1998,Hero,Splendor,100,5,50000
717,"Rs. 80,000",Used,8/8/2015,118,Kathmandu,Scooter,2011,Hero,Pleasure,100,43,25000
718,"Rs. 1,20,000",Used,4/8/2015,152,Janakpur,Cafe Racer,2013,Hero,Splendor Pro Classic,96,5,12000
719,"Rs. 1,25,000",Used,17/7/2015,379,Kathmandu,Standard,2010,Hero,CBZ Xtreme,150,42,
720,"Rs. 10,15,000",Used,13/7/2015,279,Kathmandu,Standard,2009,Hero,Karizma,125,38,30000
721,"Rs. 80,000",Used,12/7/2015,999,Lalitpur,Standard,2011,Hero,Splendor,100,42,36000
722,"Rs. 75,000",Used,9/7/2015,125,Kathmandu,Scooter,,Hero,Pleasure,102,28,25000
723,"Rs. 75,000",Used,3/7/2015,89,Kathmandu,Other,2009,Hero,Other,100,38,30000
724,"Rs. 45,000",Used,2/7/2015,105,Kathmandu,Standard,2003,Hero,Splendor,102,16,85000
725,"Rs. 70,000",Used,30/6/2015,137,Lalitpur,Scooter,2010,Hero,Pleasure,102,44,
726,"Rs. 1,10,000",Used,30/6/2015,221,Kathmandu,Standard,2009,Hero,CBZ,150,35,18000
727,"Rs. 1,50,000",Used,28/6/2015,83,Lalitpur,Standard,2012,Hero,Karizma,223,52,20000
728,"Rs. 80,000",Used,26/6/2015,663,Lalitpur,Standard,2009,Hero,Karizma R,220,35,30000
729,"Rs. 1,00,000",Used,26/6/2015,424,Kathmandu,Standard,2009,Hero,CBZ Xtreme,150,38,27000
730,"Rs. 1,89,999",Used,25/6/2015,48,Kathmandu,Standard,2011,Hero,Karizma R,223,50,19000
731,"Rs. 62,500",Used,10/7/2015,214,Kathmandu,Standard,,Hero,CBZ Xtreme,150,24,
732,"Rs. 95,000",Used,30/6/2015,457,Kathmandu,Scooter,2013,Hero,Pleasure,102,56,
733,"Rs. 1,80,000",Used,22/6/2015,375,Kathmandu,Standard,2014,Hero,Xtreme Sports,150,59,3500
734,"Rs. 1,45,000",Used,21/6/2015,146,Lalitpur,Standard,,Hero,CBZ Xtreme,150,47,
735,"Rs. 1,10,000",Used,21/6/2015,56,Kathmandu,Standard,,Hero,CBZ Xtreme,150,34,
736,"Rs. 1,65,000",Used,19/6/2015,487,Pokhara,Standard,2015,Hero,Hunk,150,9,9000
737,"Rs. 1,30,000",Used,19/6/2015,68,Kathmandu,Standard,2012,Hero,CBZ Xtreme,150,48,24000
738,"Rs. 1,65,000",Used,18/6/2015,106,Lalitpur,Standard,2014,Hero,Xtreme,150,62,7000
739,"Rs. 1,75,000",Used,14/6/2015,37,Lalitpur,Other,2010,Hero,Other,223,40,40000
740,"Rs. 60,000",Used,16/6/2015,2950,Kathmandu,Scooter,2009,Hero,Pleasure,102,38,17500
741,"Rs. 75,000",Used,7/6/2015,229,Kathmandu,Scooter,2015,Hero,Pleasure,125,43,115188
742,"Rs. 1,40,000",Used,4/6/2015,215,Kathmandu,Other,2014,Hero,Other,100,62,4200
743,"Rs. 1,85,000",Used,31/5/2015,245,Pokhara,Standard,2014,Hero,Hunk,149,9,6000
744,"Rs. 65,000",Used,26/5/2015,155,Kathmandu,Standard,2008,Hero,Karizma R,225,29,40000
745,"Rs. 40,000",Used,22/5/2015,179,Lalitpur,Standard,,Hero,Splendor,100,10,50000
746,"Rs. 75,000",Used,20/5/2015,100,Lalitpur,Standard,2007,Hero,Karizma,225,21,19942
747,"Rs. 65,000",Used,19/5/2015,90,Kathmandu,Standard,2007,Hero,CBZ Xtreme,150,27,36000
748,"Rs. 40,000",Used,18/5/2015,215,Kirtipur,Standard,2004,Hero,Passion Pro,94,18,70000
749,"Rs. 1,35,000",Used,19/5/2015,186,Bhaktapur,Standard,2011,Hero,CBZ Xtreme,150,48,17000
750,"Rs. 40,000",Used,16/5/2015,263,Kathmandu,Standard,2001,Hero,Passion Pro,100,13,32000
751,"Rs. 35,000",Used,14/5/2015,412,Kathmandu,Standard,2000,Hero,CBZ,156,13,59000
752,"Rs. 85,000",Used,11/5/2015,216,Kathmandu,Scooter,2013,Hero,Pleasure,102,55,18000
753,"Rs. 2,00,000",Used,10/5/2015,137,Kathmandu,Standard,2010,Hero,Achiver DSS,223,59,11000
754,"Rs. 90,000",Used,10/5/2015,232,Kathmandu,Standard,2002,Hero,CBZ,153,20,60000
755,"Rs. 1,75,000",Used,7/5/2015,237,Lalitpur,Standard,2014,Hero,CBZ Xtreme,150,62,1000
756,"Rs. 1,20,000",Used,5/5/2015,129,Kathmandu,Standard,2009,Hero,Hunk,150,38,2900
757,"Rs. 45,000",Used,23/4/2015,144,Kathmandu,Standard,2005,Hero,Passion Pro,100,17,
758,"Rs. 72,000",Used,21/4/2015,169,Kathmandu,Standard,2009,Hero,Splendor,100,34,17500
759,"Rs. 1,72,000",Used,21/4/2015,32,Kathmandu,Standard,2012,Hero,CBZ Xtreme,150,53,25000
760,"Rs. 1,25,000",Used,17/4/2015,54,Kathmandu,Standard,2011,Hero,CBZ Xtreme,150,48,27000
761,"Rs. 45,000",Used,16/4/2015,367,Kathmandu,Standard,2002,Hero,Ambition,133,19,
762,"Rs. 1,35,000",Used,8/4/2015,3779,Kathmandu,Standard,2011,Hero,CBZ Xtreme,150,48,
763,"Rs. 1,60,000",Used,8/4/2015,113,Lalitpur,Standard,2012,Hero,CBZ Xtreme,150,55,16000
764,"Rs. 1,22,000",Used,6/4/2015,176,Kathmandu,Standard,2011,Hero,CBZ Xtreme,150,45,27000
765,"Rs. 1,28,000",Used,3/4/2015,98,Lalitpur,Standard,2015,Hero,Splendor,100,62,10000
766,"Rs. 70,000",Used,30/3/2015,430,Kathmandu,Scooter,2011,Hero,Pleasure,102,49,17000
767,"Rs. 1,16,000",Used,27/3/2015,57,Kathmandu,Standard,2011,Hero,CBZ Xtreme,150,48,32000
768,"Rs. 2,15,000",Used,26/3/2015,567,Kathmandu,Standard,2013,Hero,Karizma,223,55,14000
769,"Rs. 1,20,000",Used,26/3/2015,459,Kathmandu,Standard,2012,Hero,CBZ Xtreme,150,66,19250
770,"Rs. 1,10,000",Used,25/3/2015,399,Kathmandu,Standard,2010,Hero,Karizma,223,42,70000
771,"Rs. 90,000",Used,24/3/2015,111,Birgunj,Standard,,Hero,CBZ Xtreme,150,14,31000
772,"Rs. 1,45,000",Used,22/3/2015,440,Kathmandu,Standard,2014,Hero,Splendor,100,64,4500
773,"Rs. 1,10,000",Used,17/2/2016,961,Kathmandu,Standard,2009,Hero,Karizma,225,39,25000
774,"Rs. 1,50,000",Used,19/3/2015,35,Kathmandu,Standard,2012,Hero,CBZ Xtreme,149,54,23000
775,"Rs. 1,25,000",Used,18/3/2015,264,Kathmandu,Scooter,2014,Hero,Pleasure,102,59,1000
776,"Rs. 1,50,000",Used,15/3/2015,70,Kathmandu,Standard,2012,Hero,Karizma R,223,53,225000
777,"Rs. 90,000",Used,12/3/2015,579,Lalitpur,Standard,2007,Hero,Karizma,233,4,38500
778,"Rs. 15,000",Used,8/3/2015,249,Kathmandu,Standard,2001,Hero,Splendor,100,9,50000
779,"Rs. 99,500",Used,7/3/2015,4055,Nepalgunj,Standard,2011,Hero,Splendor,100,50,15278
780,"Rs. 1,10,000",Used,3/3/2015,43,Kathmandu,Standard,2008,Hero,CBZ,149,31,16000
781,"Rs. 1,15,000",Used,2/3/2015,493,Kathmandu,Standard,2010,Hero,CBZ Xtreme,150,43,26000
782,"Rs. 2,30,000",New,26/2/2015,26508,Kathmandu,Standard,2015,Hero,Xtreme Sports,149,,
783,"Rs. 2,21,500",New,26/2/2015,4530,Kathmandu,Standard,2015,Hero,Xtreme Sports,149,,
784,"Rs. 45,000",Used,6/3/2015,120,Kathmandu,Standard,2010,Hero,Ambition,135,19,
785,"Rs. 45,000",Used,24/2/2015,888,Lalitpur,Standard,2006,Hero,CBZ,150,16,40000
786,"Rs. 45,000",Used,25/2/2015,47,Kathmandu,Standard,2016,Hero,Passion Pro,100,188,70000
787,"Rs. 1,20,000",Used,22/2/2015,134,,Standard,2014,Hero,Splendor,125,54,12000
788,"Rs. 1,15,000",Used,18/2/2015,58,Bhaktapur,Standard,2010,Hero,CBZ Xtreme,153,40,26500
789,"Rs. 1,20,000",Used,18/2/2015,90,Lalitpur,Standard,2006,Hero,Karizma,225,21,30000
790,"Rs. 1,30,000",Used,10/2/2015,706,Janakpur,Standard,2013,Hero,CBZ Xtreme,150,3,23000
791,"Rs. 1,30,000",Used,6/2/2015,184,Banepa,Standard,2011,Hero,CBZ Xtreme,150,48,33000
792,"Rs. 1,30,000",Used,6/2/2015,59,Kathmandu,Standard,2011,Hero,CBZ Xtreme,150,49,20000
793,"Rs. 1,10,000",Used,5/2/2015,1278,Kathmandu,Standard,2008,Hero,Splendor,97,32,196098
794,"Rs. 2,10,000",Used,3/2/2015,695,Kathmandu,Standard,2011,Hero,Karizma,223,45,13970
795,"Rs. 75,000",Used,31/1/2015,141,Kathmandu,Scooter,2012,Hero,Pleasure,100,45,14000
796,"Rs. 1,50,000",Used,30/1/2015,826,Kathmandu,Standard,2012,Hero,Karizma R,225,49,25113
797,"Rs. 1,13,000",Used,29/1/2015,119,Dharan,Standard,2011,Hero,CBZ Xtreme,150,11,23000
798,"Rs. 1,35,000",Used,27/1/2015,96,Bidhur,Standard,2013,Hero,Splendor,125,52,14000
799,"Rs. 1,35,000",Used,27/1/2015,77,Bidhur,Standard,2012,Hero,Splendor,125,52,13000
800,"Rs. 85,000",Used,26/1/2015,437,Kathmandu,Standard,2009,Hero,CBZ Xtreme,150,34,37000
801,"Rs. 1,60,000",Used,25/1/2015,411,Lalitpur,Standard,2013,Hero,CBZ Xtreme,150,49,14000
802,"Rs. 1,45,000",Used,24/1/2015,293,Kathmandu,Standard,2013,Hero,Glamour,125,57,9100
803,"Rs. 65,000",Used,22/1/2015,1076,Kathmandu,Scooter,2010,Hero,Pleasure,102,39,14000
804,"Rs. 1,16,000",Used,31/1/2015,1116,Kathmandu,Standard,2011,Hero,CBZ Xtreme,150,48,20300
805,"Rs. 60,000",Used,14/1/2015,425,Kathmandu,Standard,,Hero,Splendor,90,14,
806,"Rs. 1,75,000",Used,14/1/2015,330,Kathmandu,Standard,2013,Hero,Karizma R,223,59,3600
807,"Rs. 1,25,000",Used,13/1/2015,211,Kathmandu,Standard,2010,Hero,CBZ Xtreme,150,39,35000
808,"Rs. 1,35,000",Used,11/1/2015,587,Kathmandu,Standard,2011,Hero,CBZ Xtreme,150,49,15800
809,"Rs. 1,85,000",Used,6/1/2015,56,Lalitpur,Standard,2012,Hero,Karizma R,225,51,14000
810,"Rs. 85,000",Used,5/1/2015,546,Kathmandu,Standard,2009,Hero,CBZ Xtreme,150,33,26000
811,"Rs. 1,80,000",Used,4/1/2015,166,Kathmandu,Standard,2012,Hero,CBZ Xtreme,150,50,12000
812,"Rs. 1,00,000",Used,3/1/2015,1703,Kathmandu,Standard,2009,Hero,CBZ Xtreme,150,34,32000
813,"Rs. 80,000",Used,21/12/2014,411,Kathmandu,Standard,2005,Hero,CBZ,156,20,
814,"Rs. 1,20,000",Used,17/12/2014,650,Kathmandu,Scooter,2013,Hero,Pleasure,100,59,
815,"Rs. 55,000",Used,15/12/2014,365,Kathmandu,Scooter,2009,Hero,Pleasure,100,30,27000
816,"Rs. 1,85,000",Used,3/12/2014,130,Kathmandu,Standard,2013,Hero,CBZ,150,55,5800
817,"Rs. 90,000",Used,17/11/2014,235,Kathmandu,Standard,2009,Hero,Karizma R,223,35,40000
818,"Rs. 62,000",Used,9/11/2014,76,Kathmandu,Scooter,2008,Hero,Pleasure,102,34,27000
819,"Rs. 1,40,000",Used,9/11/2014,33,Kathmandu,Standard,2011,Hero,CBZ Xtreme,150,48,34000
820,"Rs. 82,000",Used,3/11/2014,159,Kathmandu,Standard,2010,Hero,Splendor,125,40,25000
821,"Rs. 1,20,000",Used,2/11/2014,2092,Kathmandu,Scooter,2014,Hero,Pleasure,102,44,1500
822,"Rs. 60,000",Used,31/10/2014,53,Kathmandu,Standard,2005,Hero,Splendor,100,19,24000
823,"Rs. 52,000",Used,31/10/2014,124,Kathmandu,Other,2004,Hero,Other,100,16,40000
824,"Rs. 60,000",Used,31/10/2014,164,Kathmandu,Standard,2005,Hero,Splendor,100,20,25000
825,"Rs. 1,60,000",Used,28/10/2014,177,Kathmandu,Standard,2013,Hero,CBZ Xtreme,150,56,
826,"Rs. 75,000",Used,1/11/2014,452,Kathmandu,Scooter,2010,Hero,Pleasure,102,45,23500
827,"Rs. 1,57,500",New,26/3/2015,22090,Kathmandu,Cafe Racer,2015,Hero,Splendor Pro Classic,97,,
828,"Rs. 50,000",Used,14/10/2014,234,Kathmandu,Scooter,2008,Hero,Pleasure,102,28,22000
829,"Rs. 70,000",Used,13/10/2014,478,Kathmandu,Standard,2008,Hero,Karizma R,223,29,40000
830,"Rs. 90,000",Used,14/10/2014,559,Kathmandu,Standard,2009,Hero,CBZ Xtreme,150,37,29000
831,"Rs. 1,65,000",Used,8/10/2014,255,Kathmandu,Standard,2010,Hero,Karizma,223,39,20020
832,"Rs. 80,000",Used,5/10/2014,534,Kathmandu,Scooter,2012,Hero,Pleasure,102,38,11000
833,"Rs. 1,65,000",Used,5/10/2014,206,Kathmandu,Standard,2010,Hero,Karizma,223,39,19800
834,"Rs. 80,000",Used,23/9/2014,112,Kathmandu,Standard,2008,Hero,Hunk,150,28,25000
835,"Rs. 65,000",Used,14/9/2014,1543,Kathmandu,Scooter,2009,Hero,Pleasure,110,33,120000
836,"Rs. 55,999",Used,8/9/2014,250,Kathmandu,Standard,2014,Hero,Splendor,100,15,47000
837,"Rs. 1,68,000",New,4/9/2015,6726,Kathmandu,Standard,2015,Hero,Passion Pro,97,,
838,"Rs. 2,10,000",Used,7/9/2014,54,Kathmandu,Standard,2010,Hero,Achiver DSS,225,39,17000
839,"Rs. 78,000",Used,30/7/2014,60,Kathmandu,Scooter,2007,Hero,Pleasure,102,32,1
840,"Rs. 1,05,000",Used,12/6/2014,180,Kathmandu,Standard,2009,Hero,CBZ Xtreme,150,33,35000
841,"Rs. 1,44,500",New,17/2/2015,19946,Kathmandu,Scooter,2015,Hero,Pleasure,102,,
842,"Rs. 1,57,000",New,4/9/2015,1716,Kathmandu,Scooter,2015,Hero,Pleasure,102,,
843,"Rs. 2,28,000",New,5/8/2014,2723,Kathmandu,Standard,2015,Hero,Xtreme,149,,
844,"Rs. 2,19,500",New,5/8/2014,2532,Kathmandu,Standard,2015,Hero,Xtreme,150,,
845,"Rs. 2,16,500",New,4/9/2015,7780,Kathmandu,Standard,2015,Hero,Hunk,150,,
846,"Rs. 1,92,000",New,4/9/2015,11770,Kathmandu,Standard,2015,Hero,Achiver DSS,150,,
847,"Rs. 1,89,500",New,17/2/2015,18168,Kathmandu,Standard,2015,Hero,Glamour,125,,
848,"Rs. 1,80,000",New,4/9/2015,2153,Kathmandu,Standard,2015,Hero,Glamour,125,,
849,"Rs. 1,57,500",New,4/9/2015,12255,Kathmandu,Standard,2015,Hero,Splendor,100,,
850,"Rs. 1,60,000",New,4/9/2015,1432,Kathmandu,Standard,2015,Hero,Passion Pro,97,,
851,"Rs. 1,69,500",New,4/9/2015,38677,Kathmandu,Standard,2015,Hero,Splendor,125,,
852,"Rs. 1,56,500",New,4/9/2015,8381,Kathmandu,Standard,2015,Hero,Splendor,100,,
853,"Rs. 1,44,500",New,20/7/2014,1303,Kathmandu,Scooter,2015,Hero,Pleasure,102,,
854,"Rs. 3,21,500",New,4/9/2015,10110,Kathmandu,Standard,2015,Hero,Karizma,225,,
855,"Rs. 2,60,500",New,4/9/2015,5381,Kathmandu,Standard,2015,Hero,Karizma,225,,
856,"Rs. 2,11,000",New,4/9/2015,2273,Kathmandu,Standard,2015,Hero,Hunk,150,,
857,"Rs. 1,75,000",New,4/9/2015,2996,Kathmandu,Standard,2015,Hero,Glamour,125,,
