Make,Model,Engine size (cc),Motorbike Type ,Make Year,datetime,Condition ,City,Lot No.,Kilometers,views (int),price(float)
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-12-13,Used,Kathmandu,72.0,11000.0,291,230000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-11-12,Used,Narayanghat,32.0,9000.0,614,NaN
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-08-12,Used,Kathmandu,1.0,10300.0,62,199999.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-04-12,Used,Kathmandu,74.0,5900.0,652,235.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2015.0,2016-02-12,Used,Kathmandu,70.0,2200.0,644,350000.0
Bajaj,Avenger,200.0,Cruiser,2010.0,2016-02-12,Used,Lalitpur,33.0,19800.0,373,110000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-11-29,Used,Pokhara,12.0,,117,245000.0
Bajaj,Avenger,154.0,Cruiser,2016.0,2016-11-28,Used,Pokhara,11.0,6500.0,82,255000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-11-26,Used,Kathmandu,73.0,10700.0,516,255000.0
Bajaj,Pulsar 150,150.0,Standard,2011.0,2016-11-16,Used,Kathmandu,49.0,33000.0,120,125000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-11-14,Used,Pokhara,73.0,9000.0,316,239999.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2015.0,2016-04-12,Used,Kathmandu,70.0,5000.0,368,199900.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-12-11,Used,Lalitpur,24.0,9700.0,58,220000.0
Bajaj,Pulsar 220F,22.0,Standard,2016.0,2016-12-11,Used,Kathmandu,24.0,9700.0,530,220000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2015.0,2016-10-11,Used,Kathmandu,70.0,8500.0,106,230000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-09-11,Used,Pokhara,12.0,700.0,600,270000.0
Bajaj,Pulsar 150,150.0,Standard,2013.0,2016-03-11,Used,Lalitpur,55.0,37000.0,380,140000.0
Bajaj,Avenger,220.0,Cruiser,2014.0,2016-02-11,Used,Bhaktapur,46.0,35000.0,154,140000.0
Bajaj,Pulsar AS200,200.0,Standard,2016.0,2016-10-27,Used,Bharatpur,42.0,1200.0,233,280000.0
Bajaj,Pulsar AS200,200.0,Standard,2016.0,2016-10-27,Used,Bharatpur,42.0,1200.0,58,280000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-10-31,Used,Baglung,1.0,4500.0,507,230000.0
Bajaj,Pulsar 220F,220.0,Standard,2013.0,2016-10-23,Used,Kathmandu,58.0,37500.0,668,165000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-10-19,Used,Lalitpur,77.0,2500.0,75,255000.0
Bajaj,Pulsar 220F,220.0,Standard,2011.0,2016-10-17,Used,Kathmandu,54.0,29700.0,74,165000.0
Bajaj,Pulsar 150,149.0,Standard,2016.0,2016-10-15,Used,Rajbiraj,4.0,14000.0,224,200000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2012.0,2016-10-15,Used,Kathmandu,53.0,26000.0,865,170000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-10-10,Used,Kathmandu,77.0,2000.0,475,270000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-02-10,Used,Bhairahawa,14.0,15000.0,925,19500.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-02-10,Used,Bhairahawa,14.0,15000.0,627,19500.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-09-27,Used,Kathmandu,75.0,6000.0,505,NaN
Bajaj,Pulsar 220F,220.0,Standard,2011.0,2016-09-24,Used,Lalitpur,46.0,45000.0,705,13000.0
Bajaj,Pulsar 220F,220.0,Standard,2011.0,2016-09-24,Used,Lalitpur,46.0,45000.0,440,13000.0
Bajaj,Pulsar 150,150.0,Standard,2012.0,2016-09-24,Used,,10.0,46000.0,615,115000.0
Bajaj,Pulsar 150,150.0,Standard,2016.0,2016-09-22,Used,Kathmandu,75.0,300.0,111,220000.0
Bajaj,Pulsar 150,150.0,Standard,2015.0,2016-09-22,Used,Kathmandu,70.0,9000.0,137,175.0
Bajaj,Pulsar 220F,220.0,Standard,2010.0,2016-09-18,Used,Janakpur,4.0,45000.0,219,100000.0
Bajaj,Pulsar 150,150.0,Standard,2011.0,2016-09-16,Used,,6.0,42.0,902,115000.0
Bajaj,Pulsar AS200,200.0,Standard,2015.0,2016-12-09,Used,Nepalgunj,12.0,10000.0,72,225000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-05-09,Used,Kathmandu,63.0,20000.0,743,NaN
Bajaj,Discover 125,125.0,Standard,2015.0,2016-04-09,Used,Gaidakot,32.0,26000.0,383,100000.0
Bajaj,Pulsar 150,150.0,Standard,2013.0,2016-01-09,Used,Birat Chowk,12.0,25000.0,659,150000.0
Bajaj,Pulsar 220F,220.0,Standard,2012.0,2016-08-31,Used,Itahari,12.0,31000.0,533,160000.0
Bajaj,Pulsar 200,200.0,Standard,2015.0,2016-08-28,Used,Kathmandu,25.0,5560.0,66,220000.0
Bajaj,Avenger,220.0,Cruiser,2015.0,2016-08-27,Used,Kathmandu,68.0,30.0,166,NaN
Bajaj,Discover 125,125.0,Standard,2013.0,2016-08-25,Used,Kathmandu,53.0,30000.0,249,110000.0
Bajaj,Pulsar 220F,220.0,Standard,2011.0,2016-08-24,Used,Bhaktapur,50.0,39000.0,468,140000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-08-22,Used,Kathmandu,60.0,20000.0,110,190.0
Bajaj,Discover 135,135.0,Standard,2010.0,2016-08-20,Used,Damak,2.0,6000.0,662,80000.0
Bajaj,Discover 135,135.0,Standard,2010.0,2016-08-20,Used,Damak,2.0,6000.0,382,80000.0
Bajaj,Pulsar 150,150.0,Standard,2015.0,2016-08-17,Used,Kathmandu,70.0,8000.0,397,175000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2013.0,2017-07-26,Used,Attaria,3.0,20000.0,1230,130000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2015.0,2016-08-19,Used,Kathmandu,70.0,9500.0,152,230000.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2015.0,2016-08-08,Used,Kathmandu,70.0,8600.0,640,165000.0
Bajaj,Pulsar 220F,220.0,Standard,2011.0,2016-07-08,Used,Narayanghat,41.0,1400.0,93,210000.0
Bajaj,Pulsar 150,150.0,Standard,2015.0,2016-03-08,Used,Kathmandu,70.0,8000.0,69,210000.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2015.0,2016-06-08,Used,Kathmandu,70.0,8000.0,342,2.0
Bajaj,Pulsar 220S,220.0,Standard,2012.0,2016-02-08,Used,Kathmandu,48.0,170892.0,688,105000.0
Bajaj,Pulsar 220S,220.0,Standard,2012.0,2016-02-08,Used,Kathmandu,48.0,178900.0,308,NaN
Bajaj,Pulsar 150,150.0,Standard,2016.0,2016-07-24,Used,Janakpur,9.0,200.0,85,202000.0
Bajaj,Pulsar 150,150.0,Standard,2016.0,2016-07-24,Used,Janakpur,9.0,200.0,424,202000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-07-23,Used,Pokhara,73.0,5000.0,1205,255000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-07-22,Used,Kathmandu,70.0,13000.0,794,220000.0
Bajaj,Discover 125 ST,125.0,Standard,2014.0,2016-07-21,Used,Kathmandu,54.0,9000.0,435,130000.0
Bajaj,Pulsar 150,150.0,Standard,2008.0,2016-07-19,Used,Janakpur,3.0,10000.0,1428,80000.0
Bajaj,Pulsar 150,150.0,Standard,2011.0,2016-01-10,Used,Kathmandu,4.0,40000.0,255,135000.0
Bajaj,Pulsar 220F,223.0,Standard,2012.0,2016-10-07,Used,Kathmandu,48.0,34000.0,815,150000.0
Bajaj,Pulsar 150,150.0,Standard,2015.0,2016-09-07,Used,Janakpur,8.0,250.0,1121,203000.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2016.0,2016-06-07,Used,Dharan,24.0,5000.0,304,230000.0
Bajaj,Pulsar 220,220.0,Standard,2010.0,2016-05-07,Used,Pokhara,6.0,35000.0,876,125000.0
Bajaj,Pulsar 220,220.0,Standard,2010.0,2016-05-07,Used,Pokhara,6.0,35000.0,201,125000.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-06-30,Used,Kathmandu,42.0,29000.0,558,112000.0
Bajaj,Discover 125,125.0,Standard,2015.0,2016-06-28,Used,Gatthaghar,70.0,6500.0,233,150000.0
Bajaj,Avenger,200.0,Cruiser,2015.0,2016-06-27,Used,Kathmandu,68.0,8000.0,341,225000.0
Bajaj,Discover 150,150.0,Standard,2012.0,2016-06-26,Used,Kathmandu,51.0,21000.0,380,90000.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2015.0,2016-06-24,Used,Kathmandu,69.0,5400.0,240,220000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-06-20,Used,Kathmandu,70.0,3900.0,75,230000.0
Bajaj,Pulsar 150,150.0,Standard,2011.0,2016-06-18,Used,Bhairahawa,17.0,23000.0,661,140000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-06-16,Used,Pokhara,9.0,20000.0,140,200000.0
Bajaj,Pulsar 150,150.0,Standard,2015.0,2016-06-15,Used,Kathmandu,66.0,9000.0,415,185000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-06-15,Used,Kathmandu,67.0,11000.0,86,215000.0
Bajaj,Pulsar 150,150.0,Standard,2013.0,2016-06-14,Used,Damauli,8.0,15000.0,357,155000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-06-13,Used,Kathmandu,73.0,2900.0,435,265000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-06-13,Used,Kathmandu,73.0,3000.0,165,265000.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2016.0,2016-12-06,Used,Kathmandu,72.0,1000.0,282,230000.0
Bajaj,Pulsar AS200,200.0,Standard,2015.0,2016-09-06,Used,Kathmandu,72.0,2200.0,478,265000.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2015.0,2016-06-06,Used,Kathmandu,69.0,4251.0,915,330000.0
Bajaj,Pulsar 150,150.0,Standard,2014.0,2016-04-06,Used,Butwal,18.0,32000.0,1258,165000.0
Bajaj,Avenger,220.0,Cruiser,2011.0,2016-05-30,Used,Butwal,10.0,45000.0,95,130000.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2015.0,2016-05-29,Used,Waling,22.0,4000.0,236,205000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-05-25,Used,Butwal,19.0,1600.0,1370,260000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-05-25,Used,Butwal,19.0,1600.0,181,205000.0
Bajaj,Pulsar 150,150.0,Standard,2014.0,2016-05-25,Used,Kathmandu,62.0,23000.0,163,175000.0
Bajaj,Avenger,220.0,Cruiser,2015.0,2016-05-24,Used,Kathmandu,68.0,13145.0,220,NaN
Bajaj,Pulsar 220,220.0,Standard,2010.0,2016-05-23,Used,Waling,6.0,23000.0,715,120000.0
Bajaj,Pulsar 220,220.0,Standard,2016.0,2016-05-21,Used,Kathmandu,72.0,1000.0,458,250000.0
Bajaj,Pulsar 150,150.0,Standard,2011.0,2016-05-21,Used,Kathmandu,48.0,37000.0,369,145000.0
Bajaj,Avenger,200.0,Cruiser,2008.0,2016-05-20,Used,Butwal,2008.0,25000.0,536,98000.0
Bajaj,Avenger,200.0,Cruiser,2009.0,2016-05-16,Used,Lalitpur,28.0,10000.0,113,100000.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-05-16,Used,Butwal,2010.0,53000.0,96,110000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-09-20,Used,Kathmandu,74.0,1500.0,543,265000.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2015.0,2016-05-14,Used,Kathmandu,70.0,1200.0,863,NaN
Bajaj,Discover 150,150.0,Standard,2011.0,2016-10-05,Used,Kathmandu,44.0,26000.0,154,80000.0
Bajaj,Pulsar AS200,200.0,Standard,2015.0,2016-03-05,Used,Bhairahawa,22.0,1860.0,306,220000.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-04-30,Used,Lalitpur,42.0,22000.0,461,125000.0
Bajaj,Pulsar 180,180.0,Standard,2009.0,2016-04-29,Used,,38.0,35000.0,1076,75000.0
Bajaj,Pulsar 150,150.0,Standard,2014.0,2016-04-28,Used,Kathmandu,65.0,11000.0,99,180000.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-04-27,Used,Kathmandu,42.0,22000.0,62,120000.0
Bajaj,Pulsar AS200,200.0,Standard,2015.0,2016-04-25,Used,Waling,23.0,3500.0,331,250000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2015.0,2016-04-25,Used,Waling,23.0,3500.0,63,250000.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-04-24,Used,Kathmandu,35.0,70000.0,182,70000.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-04-23,Used,Kathmandu,42.0,22000.0,248,120000.0
