,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Colour,Lot No.,Kilometers,Warranty
0,"Rs. 2,10,000",Used,7/10/2020,5,Kathmandu,Standard,2017,Bajaj,Pulsar 220F,220,Black red,92,36000,
1,"Rs. 2,20,000",Used,25/9/2020,46,Pokhara,Standard,2015,Bajaj,Pulsar 220,220,BLACK AND WHITE,11,19000,NO
2,"Rs. 85,500",Used,14/8/2020,143,Lahan,Standard,2010,Bajaj,Pulsar 220,220,Red,17,90000,
3,"Rs. 2,60,000",Used,23/7/2020,89,Kathmandu,Cruiser,2018,Bajaj,Avenger,220,"Black "" Details in picture""",301,10600,
4,"Rs. 2,20,000",Used,9/7/2020,137,Kathmandu,Sportsbike,2018,Bajaj,Pulsar 200NS,200,white,90,22000,
5,"Rs. 2,15,000",Used,8/7/2020,120,Kathmandu,Cruiser,2018,Bajaj,Avenger,150,MIXED BLUE,94,7000,
6,"Rs. 1,40,000",Used,30/6/2020,364,Kathmandu,Standard,2017,Bajaj,Other,200,Black,83,31000,
7,"Rs. 1,93,000",Used,30/3/2017,174,Lekhnath,Standard,2015,Bajaj,Pulsar 220F,220,Black & white,12,30000,Na
8,"Rs. 2,85,000",Used,30/3/2017,120,Narayanghat,Standard,2016,Bajaj,Pulsar 220,220,black new,45,1325,1 year
9,"Rs. 2,00,999",Used,24/3/2017,1319,Lekhnath,Standard,2015,Bajaj,Pulsar 220,220,Black and white,12,29000,non
10,"Rs. 2,10,000",Used,18/3/2017,137,Kathmandu,Standard,2016,Bajaj,Pulsar 150,150,Black blue,70,4500,
11,"Rs. 1,56,000",Used,20/3/2017,538,Kathmandu,Standard,2013,Bajaj,Pulsar 220F,220,Red and Black,59,14000,1 week
12,"Rs. 1,30,000",Used,16/3/2017,459,Kathmandu,Cruiser,2013,Bajaj,Avenger,220,red,54,21000,yes
13,"Rs. 1,30,000",Used,16/3/2017,319,Kathmandu,Cruiser,2013,Bajaj,Avenger,220,red,54,21000,yes
14,"Rs. 1,35,000",Used,16/3/2017,441,Kathmandu,Cruiser,2011,Bajaj,Avenger,220,Red,57,19500,
15,"Rs. 1,70,000",Used,15/3/2017,168,Kathmandu,Cruiser,2017,Bajaj,Avenger,220,red,65,23000,
16,"Rs. 2,55,000",Used,14/3/2017,595,Lalitpur,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Black white,81,6000,Dealer warenty
17,"Rs. 2,80,000",Used,9/3/2017,399,Kathmandu,Cruiser,2016,Bajaj,Avenger,220,Black,78,3700,1 year
18,"Rs. 2,80,000",Used,9/3/2017,285,Kathmandu,Cruiser,2016,Bajaj,Avenger,220,Black,78,3735,1 year
19,"Rs. 2,50,000",Used,9/3/2017,511,Bhaktapur,Sportsbike,2016,Bajaj,Pulsar 200NS,200,blue black,78,2500,yes
20,"Rs. 2,20,000",Used,7/3/2017,406,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,Black and Red,67,13000,
21,"Rs. 1,65,000",Used,25/2/2017,1666,Butwal,Standard,2014,Bajaj,Pulsar 150,150,blue,2014,30000,no
22,"Rs. 1,70,000",Used,22/2/2017,1324,Biratnagar,Standard,2013,Bajaj,Pulsar 220S,220,blue,17,30000,no
23,"Rs. 3,25,000",Used,17/2/2017,558,,Sportsbike,2016,Bajaj,Pulsar RS200,4,red,70,10000,no
24,"Rs. 1,58,000",Used,12/2/2017,298,Kathmandu,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Red,70,1488,
25,Rs. 220.00,Used,2/2/2017,399,Kathmandu,Cruiser,2013,Bajaj,Avenger,220,red n black,8,26000,no
26,"Rs. 2,20,000",Used,2/2/2017,130,Lekhnath,Standard,2016,Bajaj,Pulsar AS200,200,blue,11,8000,
27,"Rs. 1,85,000",Used,1/2/2017,656,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,Red n black,60,33000,
28,Contact Seller,Used,30/1/2017,214,Butwal,Standard,2010,Bajaj,Pulsar 150,140,Red,8,33000,No
29,"Rs. 1,85,000",Used,23/1/2017,90,Kathmandu,Standard,2012,Bajaj,Pulsar 150,150,Blue,46,37000,
30,"Rs. 2,00,000",Used,23/1/2017,273,Dumre,Standard,2015,Bajaj,Pulsar AS200,200,blue,10,8000,
31,"Rs. 2,10,000",Used,18/1/2017,93,Kathmandu,Standard,2016,Bajaj,Pulsar 150,150,red&black,73,2000,
32,"Rs. 92,000",Used,15/1/2017,172,Kathmandu,Standard,2010,Bajaj,Pulsar 180,180,blue,43,38000,nop
33,"Rs. 1,90,000",Used,15/1/2017,466,Kathmandu,Standard,2016,Bajaj,Pulsar AS200,200,Red,69,11000,
34,"Rs. 1,75,000",Used,14/1/2017,717,Pokhara,Standard,2014,Bajaj,Pulsar 220F,220,blue n black,9,20000,no
35,"Rs. 2,10,000",Used,13/1/2017,266,Kathmandu,Standard,2016,Bajaj,Pulsar AS200,200,Red,69,11000,
36,"Rs. 2,60,000",Used,8/1/2017,595,Bhaktapur,Sportsbike,2017,Bajaj,Pulsar 200NS,200,B & w,79,2700,As ler company
37,"Rs. 2,20,000",Used,8/1/2017,494,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,Black n white,74,12000,
38,"Rs. 95,000",Used,7/1/2017,172,Waling,Cruiser,2009,Bajaj,Avenger,200,Blue,10,6580,
39,"Rs. 2,55,000",Used,7/1/2017,329,Kathmandu,Cruiser,2016,Bajaj,Avenger,150,Red,81,550,Yes
40,"Rs. 1,00,000",Used,5/1/2017,226,Pokhara,Standard,2014,Bajaj,Pulsar 150,150,blue,10,21000,
41,"Rs. 2,10,000",Used,1/1/2017,411,Kathmandu,Standard,2015,Bajaj,Pulsar 220F,220,Blue black,62,24000,
42,"Rs. 1,65,000",Used,31/12/2016,630,Bharatpur,Standard,2013,Bajaj,Pulsar 220F,220,Red & Black,28,24000,No warranty
43,"Rs. 2,30,000",Used,27/12/2016,160,Pokhara,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Blue/black,11,2500,Dealar
44,Rs. 230.00,Used,22/12/2016,137,Pokhara,Standard,2016,Bajaj,Pulsar 220F,220,red,12,9000,no
45,"Rs. 2,00,000",Used,22/12/2016,66,Kathmandu,Standard,2010,Bajaj,Discover 135,135,WIND BLUE,4294967295,1000,1 YEAR
46,"Rs. 3,30,000",Used,21/12/2016,105,Butwal,Sportsbike,2015,Bajaj,Pulsar RS200,200,Red,2015,2400,
47,"Rs. 2,20,000",Used,17/12/2016,436,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,Ref,72,11000,Free service available
48,"Rs. 2,20,000",Used,17/12/2016,240,Kathmandu,Cruiser,2016,Bajaj,Avenger,220,Ref,72,11000,Full available
49,"Rs. 1,95,000",Used,14/12/2016,81,Bhairahawa,Standard,2014,Bajaj,Pulsar 180,180,red,17,17000,
50,"Rs. 1,80,000",Used,13/12/2016,641,Kathmandu,Standard,2016,Bajaj,Pulsar 180,180,Red n black,11,7200,
51,"Rs. 2,30,000",Used,13/12/2016,291,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,Red,72,11000,Full
52,Contact Seller,Used,11/12/2016,614,Narayanghat,Standard,2015,Bajaj,Pulsar 220F,220,Red black,32,9000,Finished
53,"Rs. 1,99,999",Used,8/12/2016,62,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,Red/black,1,10300,
54,Rs. 235.00,Used,4/12/2016,652,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,red n black,74,5900,yes
55,"Rs. 3,50,000",Used,2/12/2016,644,Kathmandu,Sportsbike,2015,Bajaj,Pulsar RS200,200,Yellow,70,2200,Still have
56,"Rs. 1,10,000",Used,2/12/2016,373,Lalitpur,Cruiser,2010,Bajaj,Avenger,200,Red,33,19800,None
57,"Rs. 2,45,000",Used,29/11/2016,117,Pokhara,Standard,2016,Bajaj,Pulsar 220F,220,black /red,12,,dealer
58,"Rs. 2,55,000",Used,28/11/2016,82,Pokhara,Cruiser,2016,Bajaj,Avenger,154,black n white,11,6500,1yr
59,"Rs. 2,55,000",Used,26/11/2016,516,Kathmandu,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Black&White,73,10700,2years
60,"Rs. 1,25,000",Used,16/11/2016,120,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,red n black,49,33000,no warenty
61,"Rs. 2,39,999",Used,14/11/2016,316,Pokhara,Standard,2016,Bajaj,Pulsar 220F,220,black /red,73,9000,dealor
62,"Rs. 1,99,900",Used,4/12/2016,368,Kathmandu,Sportsbike,2015,Bajaj,Pulsar AS150,150,Red,70,5000,NO
63,"Rs. 2,20,000",Used,12/11/2016,58,Lalitpur,Standard,2016,Bajaj,Pulsar 220F,220,black (silver black graphics),24,9700,no
64,"Rs. 2,20,000",Used,12/11/2016,530,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,22,black (silver black graphics),24,9700,
65,"Rs. 2,30,000",Used,10/11/2016,106,Kathmandu,Sportsbike,2015,Bajaj,Pulsar 200NS,200,white and black,70,8500,
66,"Rs. 2,70,000",Used,9/11/2016,600,Pokhara,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Black and white dual tone,12,700,
67,"Rs. 1,40,000",Used,3/11/2016,380,Lalitpur,Standard,2013,Bajaj,Pulsar 150,150,blue and black,55,37000,
68,"Rs. 1,40,000",Used,2/11/2016,154,Bhaktapur,Cruiser,2014,Bajaj,Avenger,220,silver,46,35000,
69,"Rs. 2,80,000",Used,27/10/2016,233,Bharatpur,Standard,2016,Bajaj,Pulsar AS200,200,Blue,42,1200,Company Warranty and Free Servicing Available
70,"Rs. 2,80,000",Used,27/10/2016,58,Bharatpur,Standard,2016,Bajaj,Pulsar AS200,200,Blue,42,1200,
71,"Rs. 2,30,000",Used,31/10/2016,507,Baglung,Standard,2016,Bajaj,Pulsar 220F,220,RED & BLACK,1,4500,YES
72,"Rs. 1,65,000",Used,23/10/2016,668,Kathmandu,Standard,2013,Bajaj,Pulsar 220F,220,Red,58,37500,
73,"Rs. 2,55,000",Used,19/10/2016,75,Lalitpur,Standard,2016,Bajaj,Pulsar 220F,220,red n black,77,2500,company
74,"Rs. 1,65,000",Used,17/10/2016,74,Kathmandu,Standard,2011,Bajaj,Pulsar 220F,220,blue,54,29700,
75,"Rs. 2,00,000",Used,15/10/2016,224,Rajbiraj,Standard,2016,Bajaj,Pulsar 150,149,red/Black,4,14000,no
76,"Rs. 1,70,000",Used,15/10/2016,865,Kathmandu,Sportsbike,2012,Bajaj,Pulsar 200NS,200,Blue,53,26000,
77,"Rs. 2,70,000",Used,10/10/2016,475,Kathmandu,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Blue and black,77,2000,Yes
78,"Rs. 19,500",Used,2/10/2016,925,Bhairahawa,Standard,2014,Bajaj,Pulsar 220F,220,blue and balck,14,15000,
79,"Rs. 19,500",Used,2/10/2016,627,Bhairahawa,Standard,2014,Bajaj,Pulsar 220F,220,blue and balck,14,15000,
80,Contact Seller,Used,27/9/2016,505,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,red and black,75,6000,2 years
81,"Rs. 13,000",Used,24/9/2016,705,Lalitpur,Standard,2011,Bajaj,Pulsar 220F,220,Blue,46,45000,
82,"Rs. 13,000",Used,24/9/2016,440,Lalitpur,Standard,2011,Bajaj,Pulsar 220F,220,Blue,46,45000,
83,"Rs. 1,15,000",Used,24/9/2016,615,,Standard,2012,Bajaj,Pulsar 150,150,blue,10,46000,noo
84,"Rs. 2,20,000",Used,22/9/2016,111,Kathmandu,Standard,2016,Bajaj,Pulsar 150,150,blue,75,300,company warranty
85,Rs. 175.00,Used,22/9/2016,137,Kathmandu,Standard,2015,Bajaj,Pulsar 150,150,Red,70,9000,1 year
86,"Rs. 1,00,000",Used,18/9/2016,219,Janakpur,Standard,2010,Bajaj,Pulsar 220F,220,Any,4,45000,
87,"Rs. 1,15,000",Used,16/9/2016,902,,Standard,2011,Bajaj,Pulsar 150,150,Silver,6,42,
88,"Rs. 2,25,000",Used,12/9/2016,72,Nepalgunj,Standard,2015,Bajaj,Pulsar AS200,200,black,12,10000,
89,Contact Seller,Used,5/9/2016,743,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,Black & white,63,20000,
90,"Rs. 1,00,000",Used,4/9/2016,383,Gaidakot,Standard,2015,Bajaj,Discover 125,125,Red n black,32,26000,Yes
91,"Rs. 1,50,000",Used,1/9/2016,659,Birat Chowk,Standard,2013,Bajaj,Pulsar 150,150,BLACK,12,25000,
92,"Rs. 1,60,000",Used,31/8/2016,533,Itahari,Standard,2012,Bajaj,Pulsar 220F,220,blue n black,12,31000,two days
93,"Rs. 2,20,000",Used,28/8/2016,66,Kathmandu,Standard,2015,Bajaj,Pulsar 200,200,Blue,25,5560,
94,Contact Seller,Used,27/8/2016,166,Kathmandu,Cruiser,2015,Bajaj,Avenger,220,blue,68,30,Depends upon ride
95,"Rs. 1,10,000",Used,25/8/2016,249,Kathmandu,Standard,2013,Bajaj,Discover 125,125,blue,53,30000,
96,"Rs. 1,40,000",Used,24/8/2016,468,Bhaktapur,Standard,2011,Bajaj,Pulsar 220F,220,Red & black,50,39000,
97,Rs. 190.00,Used,22/8/2016,110,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,Red wine,60,20000,
98,"Rs. 80,000",Used,20/8/2016,662,Damak,Standard,2010,Bajaj,Discover 135,135,Read,2,6000,No
99,"Rs. 80,000",Used,20/8/2016,382,Damak,Standard,2010,Bajaj,Discover 135,135,Read,2,6000,No
100,"Rs. 1,75,000",Used,17/8/2016,397,Kathmandu,Standard,2015,Bajaj,Pulsar 150,150,blue black,70,8000,none
101,"Rs. 1,30,000",Used,26/7/2017,1230,Attaria,Sportsbike,2013,Bajaj,Pulsar 200NS,200,Red,3,20000,
102,"Rs. 2,30,000",Used,19/8/2016,152,Kathmandu,Sportsbike,2015,Bajaj,Pulsar 200NS,200,blue,70,9500,
103,"Rs. 1,65,000",Used,8/8/2016,640,Kathmandu,Sportsbike,2015,Bajaj,Pulsar AS150,150,Red & Black,70,8600,Nakabandi ma kineko...stock vayera.... warranty chaina
104,"Rs. 2,10,000",Used,7/8/2016,93,Narayanghat,Standard,2011,Bajaj,Pulsar 220F,220,Red and Black,41,1400,
105,"Rs. 2,10,000",Used,3/8/2016,69,Kathmandu,Standard,2015,Bajaj,Pulsar 150,150,red,70,8000,1year
106,Rs. 2.00,Used,6/8/2016,342,Kathmandu,Sportsbike,2015,Bajaj,Pulsar AS150,150,Red,70,8000,Warranty
107,"Rs. 1,05,000",Used,2/8/2016,688,Kathmandu,Standard,2012,Bajaj,Pulsar 220S,220,black,48,170892,no
108,Contact Seller,Used,2/8/2016,308,Kathmandu,Standard,2012,Bajaj,Pulsar 220S,220,black,48,178900,no
109,"Rs. 2,02,000",Used,24/7/2016,85,Janakpur,Standard,2016,Bajaj,Pulsar 150,150,Red&Black,9,200,company warranty
110,"Rs. 2,02,000",Used,24/7/2016,424,Janakpur,Standard,2016,Bajaj,Pulsar 150,150,Red&Black,9,200,company warranty
111,"Rs. 2,55,000",Used,23/7/2016,1205,Pokhara,Standard,2016,Bajaj,Pulsar 220F,220,black /red,73,5000,bajaj showroom
112,"Rs. 2,20,000",Used,22/7/2016,794,Kathmandu,Standard,2015,Bajaj,Pulsar 220F,220,Red n Black,70,13000,
113,"Rs. 1,30,000",Used,21/7/2016,435,Kathmandu,Standard,2014,Bajaj,Discover 125 ST,125,black,54,9000,
114,"Rs. 80,000",Used,19/7/2016,1428,Janakpur,Standard,2008,Bajaj,Pulsar 150,150,Any,3,10000,Any
115,"Rs. 1,35,000",Used,1/10/2016,255,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,Black,4,40000,
116,"Rs. 1,50,000",Used,10/7/2016,815,Kathmandu,Standard,2012,Bajaj,Pulsar 220F,223,Red and Black,48,34000,
117,"Rs. 2,03,000",Used,9/7/2016,1121,Janakpur,Standard,2015,Bajaj,Pulsar 150,150,Red&Black,8,250,company warranty
118,"Rs. 2,30,000",Used,6/7/2016,304,Dharan,Sportsbike,2016,Bajaj,Pulsar AS150,150,Blue,24,5000,10 Months
119,"Rs. 1,25,000",Used,5/7/2016,876,Pokhara,Standard,2010,Bajaj,Pulsar 220,220,blue,6,35000,no
120,"Rs. 1,25,000",Used,5/7/2016,201,Pokhara,Standard,2010,Bajaj,Pulsar 220,220,blue,6,35000,no
121,"Rs. 1,12,000",Used,30/6/2016,558,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,blue,42,29000,
122,"Rs. 1,50,000",Used,28/6/2016,233,Gatthaghar,Standard,2015,Bajaj,Discover 125,125,brown black,70,6500,as company
123,"Rs. 2,25,000",Used,27/6/2016,341,Kathmandu,Cruiser,2015,Bajaj,Avenger,200,black & white,68,8000,
124,"Rs. 90,000",Used,26/6/2016,380,Kathmandu,Standard,2012,Bajaj,Discover 150,150,black,51,21000,No warranty
125,"Rs. 2,20,000",Used,24/6/2016,240,Kathmandu,Sportsbike,2015,Bajaj,Pulsar AS150,150,Ref,69,5400,
126,"Rs. 2,30,000",Used,20/6/2016,75,Kathmandu,Standard,2015,Bajaj,Pulsar 220F,220,blue n black,70,3900,company warrenty
127,"Rs. 1,40,000",Used,18/6/2016,661,Bhairahawa,Standard,2011,Bajaj,Pulsar 150,150,blue,17,23000,over 40000
128,"Rs. 2,00,000",Used,16/6/2016,140,Pokhara,Standard,2014,Bajaj,Pulsar 220F,220,Black and blue,9,20000,
129,"Rs. 1,85,000",Used,15/6/2016,415,Kathmandu,Standard,2015,Bajaj,Pulsar 150,150,black graphics,66,9000,
130,"Rs. 2,15,000",Used,15/6/2016,86,Kathmandu,Standard,2015,Bajaj,Pulsar 220F,220,blue black,67,11000,
131,"Rs. 1,55,000",Used,14/6/2016,357,Damauli,Standard,2013,Bajaj,Pulsar 150,150,red,8,15000,
132,"Rs. 2,65,000",Used,13/6/2016,435,Kathmandu,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Red and black,73,2900,1 years
133,"Rs. 2,65,000",Used,13/6/2016,165,Kathmandu,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Read and black,73,3000,2 years
134,"Rs. 2,30,000",Used,12/6/2016,282,Kathmandu,Sportsbike,2016,Bajaj,Pulsar AS150,150,red,72,1000,30000km
135,"Rs. 2,65,000",Used,9/6/2016,478,Kathmandu,Standard,2015,Bajaj,Pulsar AS200,200,Blue,72,2200,2
136,"Rs. 3,30,000",Used,6/6/2016,915,Kathmandu,Sportsbike,2015,Bajaj,Pulsar RS200,200,Red,69,4251,
137,"Rs. 1,65,000",Used,4/6/2016,1258,Butwal,Standard,2014,Bajaj,Pulsar 150,150,blue,18,32000,No
138,"Rs. 1,30,000",Used,30/5/2016,95,Butwal,Cruiser,2011,Bajaj,Avenger,220,Red,10,45000,
139,"Rs. 2,05,000",Used,29/5/2016,236,Waling,Sportsbike,2015,Bajaj,Pulsar AS150,150,Red,22,4000,
140,"Rs. 2,60,000",Used,25/5/2016,1370,Butwal,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Black and white,19,1600,2year
141,"Rs. 2,05,000",Used,25/5/2016,181,Butwal,Sportsbike,2016,Bajaj,Pulsar 200NS,200,Black and white,19,1600,2year
142,"Rs. 1,75,000",Used,25/5/2016,163,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,black and silver,62,23000,no
143,Contact Seller,Used,24/5/2016,220,Kathmandu,Cruiser,2015,Bajaj,Avenger,220,blue,68,13145,none
144,"Rs. 1,20,000",Used,23/5/2016,715,Waling,Standard,2010,Bajaj,Pulsar 220,220,Blue,6,23000,
145,"Rs. 2,50,000",Used,21/5/2016,458,Kathmandu,Standard,2016,Bajaj,Pulsar 220,220,Black and white,72,1000,1 year warranty
146,"Rs. 1,45,000",Used,21/5/2016,369,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,Red,48,37000,
147,"Rs. 98,000",Used,20/5/2016,536,Butwal,Cruiser,2008,Bajaj,Avenger,200,BLACK,2008,25000,NO
148,"Rs. 1,00,000",Used,16/5/2016,113,Lalitpur,Cruiser,2009,Bajaj,Avenger,200,blue,28,10000,
149,"Rs. 1,10,000",Used,16/5/2016,96,Butwal,Standard,2010,Bajaj,Pulsar 150,150,Blue,2010,53000,
150,"Rs. 2,65,000",Used,20/9/2016,543,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,Red black,74,1500,
151,Contact Seller,Used,14/5/2016,863,Kathmandu,Sportsbike,2015,Bajaj,Pulsar RS200,200,Yellow,70,1200,Still have
152,"Rs. 80,000",Used,10/5/2016,154,Kathmandu,Standard,2011,Bajaj,Discover 150,150,black,44,26000,
153,"Rs. 2,20,000",Used,3/5/2016,306,Bhairahawa,Standard,2015,Bajaj,Pulsar AS200,200,Red,22,1860,Dealer available
154,"Rs. 1,25,000",Used,30/4/2016,461,Lalitpur,Standard,2010,Bajaj,Pulsar 150,150,blue,42,22000,
155,"Rs. 75,000",Used,29/4/2016,1076,,Standard,2009,Bajaj,Pulsar 180,180,Black,38,35000,No
156,"Rs. 1,80,000",Used,28/4/2016,99,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,Blue and black,65,11000,As per company
157,"Rs. 1,20,000",Used,27/4/2016,62,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,blue,42,22000,
158,"Rs. 2,50,000",Used,25/4/2016,331,Waling,Standard,2015,Bajaj,Pulsar AS200,200,red,23,3500,yes
159,"Rs. 2,50,000",Used,25/4/2016,63,Waling,Sportsbike,2015,Bajaj,Pulsar 200NS,200,red,23,3500,yes
160,"Rs. 70,000",Used,24/4/2016,182,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,Black,35,70000,
161,"Rs. 1,20,000",Used,23/4/2016,248,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,blue,42,22000,
162,"Rs. 1,20,000",Used,22/4/2016,59,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,black,41,47300,no
163,"Rs. 3,75,000",Used,22/4/2016,1127,Kathmandu,Sportsbike,2015,Bajaj,Pulsar RS200,200,red,72,1400,company
164,"Rs. 1,75,000",Used,21/4/2016,646,Bhaktapur,Sportsbike,2012,Bajaj,Pulsar 200NS,200,yello,53,210000,
165,"Rs. 1,50,000",Used,19/4/2016,1178,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,red& black,53,34000,
166,Rs. 150.00,Used,19/4/2016,163,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,black&red,53,33000,
167,"Rs. 1,20,000",Used,18/4/2016,364,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,blue,42,22000,
168,"Rs. 1,20,000",Used,18/4/2016,206,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,blue,42,22000,
169,"Rs. 1,30,000",Used,12/4/2016,185,Waling,Standard,2014,Bajaj,Pulsar 220F,220,Blue,9,12000,
170,"Rs. 95,000",Used,11/4/2016,139,Waling,Cruiser,2011,Bajaj,Avenger,220,Blue,6,19584,
171,"Rs. 1,80,000",Used,9/4/2016,96,,Cruiser,2012,Bajaj,Avenger,220,black,11,21400,
172,"Rs. 90,000",Used,30/3/2016,852,Kathmandu,Standard,2007,Bajaj,Pulsar 200,200,Blue,29,28799,
173,Contact Seller,Used,26/3/2016,1414,Butwal,Standard,2010,Bajaj,Discover 135,135,grey,8071,76000,
174,"Rs. 1,00,000",Used,22/3/2016,103,Kathmandu,Standard,2010,Bajaj,Discover 150,150,Black,44,44000,
175,"Rs. 2,50,000",Used,19/3/2016,273,Kathmandu,Standard,2015,Bajaj,Pulsar AS200,200,blue,23,3602,
176,"Rs. 1,50,000",Used,16/3/2016,821,Banepa,Standard,2014,Bajaj,Pulsar 150,150,red black mix,55,32000,
177,"Rs. 2,40,000",Used,16/3/2016,831,Kathmandu,Sportsbike,2015,Bajaj,Pulsar 200NS,200,Black and blue,71,800,
178,"Rs. 2,65,000",Used,14/3/2016,1144,Itahari,Standard,2015,Bajaj,Pulsar 220F,220,red n black,24,500,according to showroom
179,"Rs. 2,40,000",Used,10/3/2016,529,Kathmandu,Standard,2015,Bajaj,Pulsar AS200,200,Blue,70,2700,
180,"Rs. 1,30,000",Used,7/3/2016,5013,Kathmandu,Standard,2007,Bajaj,Pulsar 200,200,Red,27,43320,No
181,"Rs. 2,20,000",Used,4/3/2016,563,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,red black mix,65,16000,
182,"Rs. 2,40,000",Used,2/3/2016,242,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,Red n black,61,16000,
183,"Rs. 2,35,000",Used,2/3/2016,454,Pokhara,Standard,2015,Bajaj,Pulsar 220F,220,Red,10,6500,
184,"Rs. 2,00,000",Used,14/3/2016,366,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,red & black,60,23000,
185,Rs. 2.00,Used,25/2/2016,461,Jeetpur,Sportsbike,2015,Bajaj,Pulsar AS150,150,red,36,4500,
186,"Rs. 75,000",Used,25/2/2016,3626,Bhaktapur,Standard,2010,Bajaj,Pulsar 200,200,Red,26,60000,
187,"Rs. 3,50,000",Used,24/2/2016,3718,Kathmandu,Sportsbike,2016,Bajaj,Pulsar RS200,200,Black,72,1500,2 Years
188,"Rs. 1,75,000",Used,18/2/2016,133,Waling,Standard,2013,Bajaj,Pulsar 180,180,Red black,8,12000,
189,"Rs. 1,65,000",Used,18/2/2016,101,Kathmandu,Standard,2013,Bajaj,Pulsar 150,150,blue,59,20000,
190,"Rs. 1,58,000",Used,17/2/2016,2395,Kathmandu,Standard,2012,Bajaj,Pulsar 220F,220,Blue,50,39000,
191,"Rs. 1,95,000",Used,13/8/2016,492,Kathmandu,Cruiser,2015,Bajaj,Avenger,220,black blur,29,20000,
192,"Rs. 95,000",Used,4/2/2016,163,Waling,Standard,2010,Bajaj,Pulsar 150,150,Blavk,39,26000,No
193,"Rs. 2,10,000",Used,2/2/2016,325,Kirtipur,Standard,2015,Bajaj,Pulsar 150,150,Cocktail Wine Red,71,2500,Still Under Warranty
194,"Rs. 1,00,000",Used,30/1/2016,172,Kathmandu,Standard,2011,Bajaj,Pulsar 180,180,blue,41,27000,
195,"Rs. 2,55,000",Used,25/1/2016,792,Kathmandu,Standard,2015,Bajaj,Pulsar AS200,200,Black,69,3500,
196,"Rs. 1,85,000",Used,23/1/2016,84,Kathmandu,Sportsbike,2012,Bajaj,Pulsar 200NS,200,blue,58,24000,
197,"Rs. 2,10,000",Used,21/1/2016,242,Butwal,Standard,2012,Bajaj,Pulsar 220F,220,Mud Black,12,35000,
198,"Rs. 1,35,000",Used,20/1/2016,671,Waling,Standard,2012,Bajaj,Pulsar 150,150,Blue black,7,15600,
199,"Rs. 1,90,000",Used,20/1/2016,584,Waling,Standard,2014,Bajaj,Pulsar 220F,220,Blue black,8,25000,No
200,"Rs. 2,50,000",Used,19/1/2016,291,Birat Chowk,Standard,2016,Bajaj,Pulsar AS200,200,blue,22,3100,full
201,"Rs. 1,45,000",Used,18/1/2016,361,Waling,Cruiser,2011,Bajaj,Avenger,220,Blue,6,19000,No
202,"Rs. 1,65,000",Used,16/1/2016,891,Kathmandu,Cruiser,2013,Bajaj,Avenger,200,Black,53,25000,No
203,"Rs. 70,000",Used,13/1/2016,209,Lalitpur,Standard,2008,Bajaj,Pulsar 150,150,red,27,33000,
204,"Rs. 1,25,000",Used,11/1/2016,118,Waling,Standard,2012,Bajaj,Pulsar 150,150,Red black,7,31000,No
205,"Rs. 3,75,000",Used,11/1/2016,98,Kathmandu,Sportsbike,2015,Bajaj,Pulsar RS200,200,Red,70,2500,1 year
