,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Colour,Lot No.,Kilometers,Warranty
1325,"Rs. 2,24,900",New,4/9/2015,16681,Kathmandu,Standard,2015,Honda,CB Unicorn,149,,,,2 Years
1326,"Rs. 1,87,900",New,17/2/2015,6141,Kathmandu,Standard,2015,Honda,CB Shine,125,,,,2 Years
1327,"Rs. 1,80,900",New,17/2/2015,30606,Kathmandu,Scooter,2015,Honda,Aviator,109,,,,2 Years
1328,"Rs. 1,59,900",New,17/2/2015,9351,Kathmandu,Scooter,2015,Honda,Activa,109,,,,2 Years
1329,"Rs. 3,00,000",Used,10/9/2020,118,Kathmandu,Sportsbike,2016,KTM,RC 390,390,White,67,35,
1330,"Rs. 3,70,000",Used,31/7/2020,150,Kathmandu,Sportsbike,2017,KTM,RC 390,390,Black and orange,86,19000,
1331,"Rs. 3,59,999",Used,26/7/2020,80,Pokhara,Sportsbike,2016,KTM,Duke 390,390,White/Orange,12,22452,
1332,"Rs. 3,59,999",Used,26/7/2020,49,Pokhara,Sportsbike,2016,KTM,Duke 390,390,White/Orange,12,22452,
1333,"Rs. 5,15,000",Used,26/7/2020,83,Kathmandu,Other,2018,KTM,Other,250,Orange,99,5200,
1334,"Rs. 3,00,000",Used,26/3/2017,1439,Bharatpur,Sportsbike,2016,KTM,Duke 200,200,black,71,16000,
1335,"Rs. 3,80,000",Used,26/5/2017,681,Pokhara,Sportsbike,2015,KTM,RC 200,200,black white,10,15000,
1336,"Rs. 5,50,000",Used,23/3/2017,296,Lalitpur,Sportsbike,2016,KTM,RC 390,390,white,8,2000,
1337,"Rs. 4,30,000",Used,21/3/2017,498,Kathmandu,Sportsbike,2016,KTM,Duke 390,390,Orange white,77,11300,
1338,"Rs. 4,70,000",Used,20/3/2017,249,Kathmandu,Sportsbike,2016,KTM,Duke 390,390,Orange white,77,11300,
1339,"Rs. 3,15,000",Used,17/3/2017,463,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Black,64,13000,
1340,"Rs. 3,30,000",Used,15/3/2017,445,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,White,69,19000,
1341,"Rs. 3,00,000",Used,14/3/2017,273,Parsa Bazaar,Sportsbike,2014,KTM,RC 200,200,Black,38,14000,
1342,"Rs. 5,00,000",Used,13/3/2017,1202,Kathmandu,Sportsbike,2014,KTM,RC 390,390,White and blue,68,20000,
1343,"Rs. 3,50,000",Used,28/2/2017,697,Narayanghat,Sportsbike,2016,KTM,Duke 200,200,White,70,14500,
1344,Contact Seller,Used,15/2/2017,157,Pokhara,Sportsbike,2016,KTM,Duke 390,390,white and black,1165,6000,No
1345,"Rs. 3,50,000",Used,12/2/2017,111,Kathmandu,Sportsbike,2016,KTM,Duke 200,200,any,68,15000,
1346,"Rs. 5,90,000",Used,8/2/2017,450,Kathmandu,Sportsbike,2016,KTM,Duke 200,390,white,73,3100,
1347,"Rs. 5,00,000",Used,8/2/2017,279,Kathmandu,Sportsbike,2016,KTM,RC 200,200,Black,73,4500,
1348,"Rs. 3,70,000",Used,6/2/2017,274,Lalitpur,Sportsbike,2015,KTM,Duke 200,200,Black and white,73,8565,
1349,"Rs. 3,75,000",Used,5/2/2017,394,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,Black,71,8000,
1350,"Rs. 5,30,000",Used,4/2/2017,459,Kathmandu,Sportsbike,2015,KTM,Duke 390,390,Black & Orange,64,1500,
1351,"Rs. 3,65,000",Used,3/2/2017,675,Kathmandu,Sportsbike,2015,KTM,RC 200,200,Mat black,69,23000,
1352,"Rs. 3,65,000",Used,1/2/2017,68,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,Orange,72,8500,
1353,"Rs. 3,15,000",Used,24/1/2017,543,Kathmandu,Sportsbike,2013,KTM,Duke 200,200,white,8,13000,
1354,"Rs. 6,15,000",Used,24/1/2017,492,Pokhara,Sportsbike,2015,KTM,RC 390,390,white & orange,10,1500,
1355,"Rs. 5,00,000",Used,23/1/2017,424,Kathmandu,Sportsbike,2013,KTM,Duke 390,373,Orange & White,60,6500,
1356,"Rs. 5,25,000",Used,29/12/2016,71,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,White,69,7500,
1357,"Rs. 3,05,000",Used,29/12/2016,1007,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,orange white & black,61,16000,
1358,"Rs. 6,00,000",Used,22/12/2016,328,Nepalgunj,Sportsbike,2015,KTM,RC 390,373,White,5,12000,Company
1359,"Rs. 4,50,000",Used,17/12/2016,344,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,red black,62,11000,
1360,"Rs. 2,85,000",Used,13/12/2016,1277,Kathmandu,Sportsbike,2012,KTM,Duke 200,200,black,54,26000,
1361,"Rs. 3,60,000",Used,26/11/2016,874,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,White & Orange,70,16500,1Year
1362,Contact Seller,Used,26/11/2016,101,Kathmandu,Sportsbike,2015,KTM,Duke 390,390,Orange,63,19000,
1363,"Rs. 2,85,000",Used,17/11/2016,1282,Dharan,Sportsbike,2013,KTM,Duke 200,200,Orange decal,23,10645,
